Comox_Lake,LilMud_Lake,LowCamp_Lake,Mccreight_Lake,Mohun_Lake,Muchalat_Lake,pca,marine_sample,combined
8.247485274,3.978364915,4.982516926,4.181630806,5.289554342,3.339571499,PCA1,Bamfield_Inlet,PCA1/Bamfield_Inlet
6.58482245,2.315702092,3.319854103,2.518967982,3.626891519,1.676908676,PCA1,Belcara_Marine,PCA1/Belcara_Marine
6.546187357,2.277066999,3.28121901,2.480332889,3.588256426,1.638273583,PCA1,Bowen_Marine,PCA1/Bowen_Marine
6.541422273,2.272301915,3.276453926,2.475567806,3.583491342,1.633508499,PCA1,Canton_Lagoon,PCA1/Canton_Lagoon
5.449819385,1.180699027,2.184851038,1.383964917,2.491888454,0.541905611,PCA1,Courtenay_River_Estuary,PCA1/Courtenay_River_Estuary
5.915176698,1.64605634,2.650208351,1.84932223,2.957245767,1.007262924,PCA1,Englishman_River_Estuary,PCA1/Englishman_River_Estuary
7.167281387,2.898161029,3.90231304,3.101426919,4.209350456,2.259367613,PCA1,Kanaka_Creek,PCA1/Kanaka_Creek
7.086612431,2.817492073,3.821644084,3.020757963,4.1286815,2.178698657,PCA1,Port_Hardy_Estuary,PCA1/Port_Hardy_Estuary
5.318944545,1.049824187,2.053976198,1.253090077,2.361013614,0.411030771,PCA1,Sayward_Estuary_1st,PCA1/Sayward_Estuary_1st
6.750199488,2.48107913,3.485231141,2.68434502,3.792268556,1.842285714,PCA1,Sooke_River,PCA1/Sooke_River
-1.514200969,0.037272154,-0.745485809,0.488071812,-0.455294449,1.054671514,PCA2,Bamfield_Inlet1,PCA2/Bamfield_Inlet
-0.576929624,0.974543499,0.191785536,1.425343157,0.481976897,1.99194286,PCA2,Belcara_Marine1,PCA2/Belcara_Marine
0.166798564,1.718271688,0.935513725,2.169071346,1.225705085,2.735671048,PCA2,Bowen_Marine1,PCA2/Bowen_Marine
-2.186782411,-0.635309288,-1.418067251,-0.18450963,-1.127875891,0.382090072,PCA2,Canton_Lagoon1,PCA2/Canton_Lagoon
-0.06059763,1.490875494,0.708117531,1.941675152,0.998308891,2.508274854,PCA2,Courtenay_River_Estuary1,PCA2/Courtenay_River_Estuary
-0.147595308,1.403877815,0.621119852,1.854677473,0.911311213,2.421277176,PCA2,Englishman_River_Estuary1,PCA2/Englishman_River_Estuary
0.171095861,1.722568984,0.939811021,2.173368642,1.230002381,2.739968344,PCA2,Kanaka_Creek1,PCA2/Kanaka_Creek
-1.88509553,-0.333622407,-1.11638037,0.117177251,-0.826189009,0.683776954,PCA2,Port_Hardy_Estuary1,PCA2/Port_Hardy_Estuary
-1.632593739,-0.081120616,-0.863878579,0.369679042,-0.573687219,0.936278744,PCA2,Sayward_Estuary_1st1,PCA2/Sayward_Estuary_1st
-0.912452212,0.639020911,-0.143737052,1.089820569,0.146454309,1.656420272,PCA2,Sooke_River1,PCA2/Sooke_River
1.116152854,-1.518016717,-1.965574206,-0.964919882,-0.359788368,-1.243357787,PCA3,Bamfield_Inlet2,PCA3/Bamfield_Inlet
0.825501927,-1.808667644,-2.256225133,-1.255570809,-0.650439295,-1.534008714,PCA3,Belcara_Marine2,PCA3/Belcara_Marine
0.757808083,-1.876361488,-2.323918977,-1.323264653,-0.718133139,-1.601702558,PCA3,Bowen_Marine2,PCA3/Bowen_Marine
0.322818725,-2.311350847,-2.758908336,-1.758254012,-1.153122498,-2.036691916,PCA3,Canton_Lagoon2,PCA3/Canton_Lagoon
0.660326986,-1.973842585,-2.421400074,-1.42074575,-0.815614236,-1.699183654,PCA3,Courtenay_River_Estuary2,PCA3/Courtenay_River_Estuary
-0.260959873,-2.895129444,-3.342686933,-2.342032609,-1.736901095,-2.620470513,PCA3,Englishman_River_Estuary2,PCA3/Englishman_River_Estuary
1.60278554,-1.031384032,-1.478941521,-0.478287197,0.126844317,-0.756725101,PCA3,Kanaka_Creek2,PCA3/Kanaka_Creek
0.217299508,-2.416870063,-2.864427552,-1.863773228,-1.258641714,-2.142211132,PCA3,Port_Hardy_Estuary2,PCA3/Port_Hardy_Estuary
-0.047596247,-2.681765818,-3.129323307,-2.128668983,-1.523537469,-2.407106887,PCA3,Sayward_Estuary_1st2,PCA3/Sayward_Estuary_1st
1.097967241,-1.53620233,-1.983759819,-0.983105495,-0.377973981,-1.261543399,PCA3,Sooke_River2,PCA3/Sooke_River
0.226254711,-0.622121095,-0.927991238,-1.993629944,0.271706183,-0.113579207,PCA4,Bamfield_Inlet3,PCA4/Bamfield_Inlet
1.127516195,0.279140389,-0.026729754,-1.09236846,1.172967667,0.787682277,PCA4,Belcara_Marine3,PCA4/Belcara_Marine
0.420979263,-0.427396543,-0.733266686,-1.798905392,0.466430735,0.081145345,PCA4,Bowen_Marine3,PCA4/Bowen_Marine
0.62039709,-0.227978716,-0.533848859,-1.599487565,0.665848562,0.280563172,PCA4,Canton_Lagoon3,PCA4/Canton_Lagoon
1.674615359,0.826239553,0.52036941,-0.545269296,1.720066831,1.33478144,PCA4,Courtenay_River_Estuary3,PCA4/Courtenay_River_Estuary
1.155015885,0.306640079,0.000769935,-1.064868771,1.200467356,0.815181966,PCA4,Englishman_River_Estuary3,PCA4/Englishman_River_Estuary
0.168679271,-0.679696535,-0.985566679,-2.051205385,0.214130742,-0.171154648,PCA4,Kanaka_Creek3,PCA4/Kanaka_Creek
0.772294614,-0.076081192,-0.381951335,-1.447590041,0.817746086,0.432460696,PCA4,Port_Hardy_Estuary3,PCA4/Port_Hardy_Estuary
1.996579072,1.148203266,0.842333122,-0.223305584,2.042030543,1.656745153,PCA4,Sayward_Estuary_1st3,PCA4/Sayward_Estuary_1st
0.993460663,0.145084857,-0.160785286,-1.226423992,1.038912135,0.653626744,PCA4,Sooke_River3,PCA4/Sooke_River
-0.116201656,-0.77551846,-0.78156375,-0.805910777,-1.014880932,0.07638321,PCA5,Bamfield_Inlet4,PCA5/Bamfield_Inlet
0.582509033,-0.076807771,-0.082853061,-0.107200088,-0.316170243,0.775093898,PCA5,Belcara_Marine4,PCA5/Belcara_Marine
0.998916827,0.339600023,0.333554733,0.309207706,0.100237551,1.191501693,PCA5,Bowen_Marine4,PCA5/Bowen_Marine
0.808777724,0.14946092,0.14341563,0.119068603,-0.089901552,1.00136259,PCA5,Canton_Lagoon4,PCA5/Canton_Lagoon
0.674518521,0.015201717,0.009156427,-0.0151906,-0.224160755,0.867103387,PCA5,Courtenay_River_Estuary4,PCA5/Courtenay_River_Estuary
0.010403726,-0.648913078,-0.654958368,-0.679305396,-0.88827555,0.202988591,PCA5,Englishman_River_Estuary4,PCA5/Englishman_River_Estuary
2.047935818,1.388619014,1.382573724,1.358226697,1.149256542,2.240520684,PCA5,Kanaka_Creek4,PCA5/Kanaka_Creek
0.012633849,-0.646682955,-0.652728244,-0.677075272,-0.886045427,0.205218715,PCA5,Port_Hardy_Estuary4,PCA5/Port_Hardy_Estuary
0.77858143,0.119264626,0.113219337,0.088872309,-0.120097846,0.971166296,PCA5,Sayward_Estuary_1st4,PCA5/Sayward_Estuary_1st
0.858280944,0.19896414,0.19291885,0.168571823,-0.040398332,1.05086581,PCA5,Sooke_River4,PCA5/Sooke_River
0.034308975,-0.088860373,-0.387595953,-0.152302838,0.157235503,0.961660351,PCA6,Bamfield_Inlet5,PCA6/Bamfield_Inlet
-0.138348642,-0.26151799,-0.56025357,-0.324960455,-0.015422114,0.789002734,PCA6,Belcara_Marine5,PCA6/Belcara_Marine
0.326257548,0.2030882,-0.09564738,0.139645734,0.449184075,1.253608923,PCA6,Bowen_Marine5,PCA6/Bowen_Marine
-0.105093545,-0.228262893,-0.526998473,-0.291705358,0.017832983,0.822257831,PCA6,Canton_Lagoon5,PCA6/Canton_Lagoon
0.130291072,0.007121724,-0.291613856,-0.056320741,0.2532176,1.057642448,PCA6,Courtenay_River_Estuary5,PCA6/Courtenay_River_Estuary
0.014672235,-0.108497113,-0.407232693,-0.171939579,0.137598762,0.942023611,PCA6,Englishman_River_Estuary5,PCA6/Englishman_River_Estuary
-0.349074527,-0.472243875,-0.770979455,-0.535686341,-0.226148,0.578276848,PCA6,Kanaka_Creek5,PCA6/Kanaka_Creek
0.060518496,-0.062650852,-0.361386432,-0.126093317,0.183445024,0.987869872,PCA6,Port_Hardy_Estuary5,PCA6/Port_Hardy_Estuary
0.106886275,-0.016283073,-0.315018653,-0.079725538,0.229812803,1.034237651,PCA6,Sayward_Estuary_1st5,PCA6/Sayward_Estuary_1st
-0.145517716,-0.268687064,-0.567422644,-0.332129529,-0.022591188,0.78183366,PCA6,Sooke_River5,PCA6/Sooke_River
0.83003478,0.253455562,0.272410134,0.499486401,0.147428163,0.266159128,PCA7,Bamfield_Inlet6,PCA7/Bamfield_Inlet
0.411519157,-0.16506006,-0.146105488,0.080970778,-0.271087459,-0.152356494,PCA7,Belcara_Marine6,PCA7/Belcara_Marine
0.57705246,0.000473242,0.019427814,0.246504081,-0.105554156,0.013176808,PCA7,Bowen_Marine6,PCA7/Bowen_Marine
0.314094899,-0.262484318,-0.243529746,-0.01645348,-0.368511717,-0.249780752,PCA7,Canton_Lagoon6,PCA7/Canton_Lagoon
0.580421869,0.003842652,0.022797224,0.24987349,-0.102184747,0.016546218,PCA7,Courtenay_River_Estuary6,PCA7/Courtenay_River_Estuary
0.321048743,-0.255530475,-0.236575903,-0.009499636,-0.361557873,-0.242826909,PCA7,Englishman_River_Estuary6,PCA7/Englishman_River_Estuary
-0.375201691,-0.951780909,-0.932826337,-0.70575007,-1.057808307,-0.939077343,PCA7,Kanaka_Creek6,PCA7/Kanaka_Creek
-0.029976062,-0.60655528,-0.587600708,-0.360524441,-0.712582679,-0.593851714,PCA7,Port_Hardy_Estuary6,PCA7/Port_Hardy_Estuary
0.259452046,-0.317127172,-0.2981726,-0.071096333,-0.42315457,-0.304423605,PCA7,Sayward_Estuary_1st6,PCA7/Sayward_Estuary_1st
0.504700842,-0.071878376,-0.052923804,0.174152463,-0.177905775,-0.05917481,PCA7,Sooke_River6,PCA7/Sooke_River
-0.011123029,-0.256257424,0.064600329,-0.627568096,-0.397169225,-0.311429081,PCA8,Bamfield_Inlet7,PCA8/Bamfield_Inlet
-0.011488459,-0.256622854,0.0642349,-0.627933525,-0.397534655,-0.311794511,PCA8,Belcara_Marine7,PCA8/Belcara_Marine
0.170255322,-0.074879074,0.24597868,-0.446189745,-0.215790875,-0.130050731,PCA8,Bowen_Marine7,PCA8/Bowen_Marine
-0.113174324,-0.35830872,-0.037450966,-0.729619391,-0.49922052,-0.413480376,PCA8,Canton_Lagoon7,PCA8/Canton_Lagoon
-0.385772824,-0.630907219,-0.310049466,-1.00221789,-0.77181902,-0.686078876,PCA8,Courtenay_River_Estuary7,PCA8/Courtenay_River_Estuary
0.089913351,-0.155221044,0.165636709,-0.526531716,-0.296132845,-0.210392701,PCA8,Englishman_River_Estuary7,PCA8/Englishman_River_Estuary
0.031246615,-0.213887781,0.106969973,-0.585198452,-0.354799582,-0.269059438,PCA8,Kanaka_Creek7,PCA8/Kanaka_Creek
0.387870794,0.142736398,0.463594152,-0.228574273,0.001824597,0.087564741,PCA8,Port_Hardy_Estuary7,PCA8/Port_Hardy_Estuary
-0.084764218,-0.329898614,-0.00904086,-0.701209285,-0.470810414,-0.385070271,PCA8,Sayward_Estuary_1st7,PCA8/Sayward_Estuary_1st
-0.158291058,-0.403425454,-0.0825677,-0.774736125,-0.544337254,-0.45859711,PCA8,Sooke_River7,PCA8/Sooke_River
-0.067254387,0.162470902,-0.375872767,0.297312647,-0.031425845,-0.207055476,PCA9,Bamfield_Inlet8,PCA9/Bamfield_Inlet
0.20007986,0.429805149,-0.10853852,0.564646893,0.235908402,0.060278771,PCA9,Belcara_Marine8,PCA9/Belcara_Marine
0.225028992,0.454754281,-0.083589388,0.589596026,0.260857534,0.085227903,PCA9,Bowen_Marine8,PCA9/Bowen_Marine
-0.069888353,0.159836936,-0.378506733,0.29467868,-0.034059811,-0.209689442,PCA9,Canton_Lagoon8,PCA9/Canton_Lagoon
-0.026644727,0.203080562,-0.335263106,0.337922307,0.009183815,-0.166445816,PCA9,Courtenay_River_Estuary8,PCA9/Courtenay_River_Estuary
-0.26546624,-0.035740951,-0.57408462,0.099100794,-0.229637698,-0.405267329,PCA9,Englishman_River_Estuary8,PCA9/Englishman_River_Estuary
-0.184950301,0.044774988,-0.493568681,0.179616733,-0.149121759,-0.32475139,PCA9,Kanaka_Creek8,PCA9/Kanaka_Creek
0.410952248,0.640677537,0.102333868,0.775519281,0.44678079,0.271151159,PCA9,Port_Hardy_Estuary8,PCA9/Port_Hardy_Estuary
0.092759726,0.322485015,-0.215858654,0.457326759,0.128588268,-0.047041363,PCA9,Sayward_Estuary_1st8,PCA9/Sayward_Estuary_1st
0.144012703,0.373737993,-0.164605676,0.508579737,0.179841246,0.004211615,PCA9,Sooke_River8,PCA9/Sooke_River
-0.183175689,-0.245980826,-0.215966789,-0.074112596,-0.279366653,-0.413550176,PCA10,Bamfield_Inlet9,PCA10/Bamfield_Inlet
0.165377013,0.102571876,0.132585913,0.274440106,0.069186049,-0.064997474,PCA10,Belcara_Marine9,PCA10/Belcara_Marine
0.082652864,0.019847727,0.049861763,0.191715957,-0.0135381,-0.147721624,PCA10,Bowen_Marine9,PCA10/Bowen_Marine
0.090476996,0.02767186,0.057685896,0.19954009,-0.005713967,-0.139897491,PCA10,Canton_Lagoon9,PCA10/Canton_Lagoon
0.135064805,0.072259668,0.102273705,0.244127898,0.038873841,-0.095309682,PCA10,Courtenay_River_Estuary9,PCA10/Courtenay_River_Estuary
-0.037747056,-0.100552193,-0.070538156,0.071316037,-0.13393802,-0.268121543,PCA10,Englishman_River_Estuary9,PCA10/Englishman_River_Estuary
-0.12767652,-0.190481657,-0.160467621,-0.018613427,-0.223867484,-0.358051008,PCA10,Kanaka_Creek9,PCA10/Kanaka_Creek
0.00634897,-0.056456167,-0.02644213,0.115412063,-0.089841994,-0.224025517,PCA10,Port_Hardy_Estuary9,PCA10/Port_Hardy_Estuary
0.101687182,0.038882045,0.068896082,0.210750275,0.005496218,-0.128687305,PCA10,Sayward_Estuary_1st9,PCA10/Sayward_Estuary_1st
0.013737601,-0.049067535,-0.019053499,0.122800695,-0.082453362,-0.216636886,PCA10,Sooke_River9,PCA10/Sooke_River